rental_id,customer_id,store_id,movie_title,category,rental_date,rental_fee,discount,final_fee,loyalty_points
82,CUST244,Mall Store,Spider-Man: Far From Home,Action,2024-09-22,9.52,3.0,6.52,9
83,CUST267,Mall Store,Inside Out,Animation,2024-09-01,4.75,0.0,4.75,6
84,CUST140,Mall Store,Aladdin,Family,2024-11-23,10.93,0.0,10.93,10
85,CUST119,Mall Store,Toy Story 4,Animation,2024-06-05,9.06,0.0,9.06,16
86,CUST170,Suburban Store,The Dark Knight,Action,2025-04-22,6.16,0.5,5.66,8
87,CUST300,Suburban Store,Titanic,Romance,2024-01-21,10.57,2.0,8.57,16
88,CUST004,Mall Store,Shrek,Animation,2024-11-01,9.53,1.5,8.03,8
89,CUST113,Mall Store,Shrek,Animation,2025-03-22,6.86,1.5,5.36,6
90,CUST208,Suburban Store,Doctor Strange,Action,2024-06-18,10.41,0.5,9.91,4
91,CUST289,Suburban Store,Titanic,Romance,2024-01-28,2.84,1.5,1.3399999999999999,0
92,CUST094,Downtown Store,Finding Nemo,Family,2024-09-23,5.79,0.5,5.29,8
93,CUST173,Mall Store,Zootopia,Animation,2024-10-11,9.52,1.5,8.02,12
94,CUST241,Downtown Store,Joker,Drama,2025-07-06,2.52,1.0,1.52,0
95,CUST036,Suburban Store,Coco,Animation,2024-02-11,9.54,0.5,9.04,8
96,CUST079,Downtown Store,Avengers: Endgame,Action,2024-05-09,6.74,0.0,6.74,6
97,CUST132,Mall Store,Finding Nemo,Family,2024-06-20,8.06,3.0,5.0600000000000005,2
98,CUST084,Mall Store,Inside Out,Animation,2024-04-20,7.79,1.0,6.79,12
99,CUST102,Downtown Store,Titanic,Romance,2024-09-05,3.02,1.0,2.02,1
100,CUST022,Mall Store,Black Panther,Action,2025-06-29,6.28,1.0,5.28,2
101,CUST175,Downtown Store,Minions,Animation,2025-03-06,10.22,0.0,10.22,20
102,CUST236,Suburban Store,Inception,Sci-Fi,2024-06-05,6.35,3.0,3.3499999999999996,3
103,CUST276,Mall Store,Moana,Family,2025-04-21,6.36,3.0,3.3600000000000003,3
104,CUST126,Downtown Store,Zootopia,Animation,2024-10-12,10.82,0.5,10.32,20
105,CUST195,Mall Store,Black Panther,Action,2024-01-30,6.94,1.0,5.94,4
106,CUST109,Mall Store,Shrek,Animation,2024-09-21,5.4,2.0,3.4000000000000004,3
107,CUST006,Suburban Store,The Matrix,Sci-Fi,2024-07-14,2.86,3.0,0.0,0
108,CUST285,Downtown Store,Shrek,Animation,2025-05-02,8.46,1.5,6.960000000000001,12
109,CUST048,Mall Store,Avengers: Endgame,Action,2024-08-14,6.04,0.5,5.54,6
110,CUST298,Mall Store,Doctor Strange,Action,2025-04-29,7.53,1.0,6.53,12
111,CUST282,Mall Store,Guardians of the Galaxy,Action,2024-12-26,9.03,1.0,8.03,12
112,CUST119,Downtown Store,It Chapter Two,Horror,2024-07-16,5.16,3.0,2.16,2
113,CUST111,Suburban Store,Captain Marvel,Action,2025-05-10,4.76,2.0,2.76,3
114,CUST100,Mall Store,The Lion King,Family,2024-08-20,5.61,1.0,4.61,2
115,CUST274,Downtown Store,Up,Family,2024-10-07,2.46,0.0,2.46,3
116,CUST065,Suburban Store,Up,Family,2025-05-17,3.03,0.0,3.03,3
117,CUST246,Mall Store,Shrek,Animation,2024-12-14,3.84,0.0,3.84,3
118,CUST059,Downtown Store,Shrek,Animation,2025-02-14,6.92,2.0,4.92,2
119,CUST077,Suburban Store,Toy Story 4,Animation,2024-11-07,2.85,0.5,2.35,1
120,CUST214,Suburban Store,The Matrix,Sci-Fi,2024-08-19,9.76,1.5,8.26,16
121,CUST153,Suburban Store,Finding Nemo,Family,2025-03-15,5.05,2.0,3.05,1
122,CUST051,Downtown Store,Moana,Family,2024-08-04,4.65,0.0,4.65,4
123,CUST089,Suburban Store,Aladdin,Family,2024-03-17,3.57,1.5,2.07,4
124,CUST241,Mall Store,Up,Family,2024-02-03,4.31,3.0,1.3099999999999996,0
125,CUST233,Downtown Store,Up,Family,2024-08-27,11.24,3.0,8.24,8
126,CUST059,Suburban Store,The Dark Knight,Action,2024-08-18,8.48,1.0,7.48,6
127,CUST031,Downtown Store,Joker,Drama,2024-11-10,7.95,2.0,5.95,6
128,CUST064,Mall Store,Finding Nemo,Family,2024-11-07,9.0,1.0,8.0,16
129,CUST042,Suburban Store,Finding Nemo,Family,2024-02-10,10.89,3.0,7.890000000000001,9
130,CUST129,Downtown Store,Moana,Family,2024-04-03,4.29,3.0,1.29,0
131,CUST138,Suburban Store,Inside Out,Animation,2024-02-11,9.63,0.5,9.13,16
132,CUST227,Mall Store,Minions,Animation,2024-07-04,11.97,1.5,10.47,20
133,CUST241,Mall Store,Joker,Drama,2025-02-22,5.33,3.0,2.33,1
134,CUST169,Mall Store,Spider-Man: Far From Home,Action,2025-05-22,4.88,1.5,3.38,1
135,CUST046,Mall Store,Finding Nemo,Family,2024-09-15,5.23,1.5,3.7300000000000004,1
136,CUST278,Mall Store,Doctor Strange,Action,2025-02-27,2.54,2.0,0.54,0
137,CUST256,Suburban Store,Moana,Family,2025-03-28,9.6,0.5,9.1,12
138,CUST068,Mall Store,The Matrix,Sci-Fi,2025-03-24,10.81,1.5,9.31,4
139,CUST123,Suburban Store,Avengers: Endgame,Action,2024-06-11,5.11,0.0,5.11,8
140,CUST116,Downtown Store,Joker,Drama,2025-04-17,11.47,3.0,8.47,8
141,CUST150,Suburban Store,Shrek,Animation,2024-10-06,6.15,1.5,4.65,8
142,CUST234,Suburban Store,Aladdin,Family,2024-05-28,5.84,2.0,3.84,2
143,CUST142,Mall Store,Joker,Drama,2024-12-14,11.34,2.0,9.34,12
144,CUST145,Suburban Store,Avengers: Endgame,Action,2024-11-01,10.37,2.0,8.37,16
145,CUST229,Suburban Store,Toy Story 4,Animation,2025-05-10,5.45,2.0,3.45,4
146,CUST165,Downtown Store,Finding Nemo,Family,2024-09-01,7.72,0.5,7.22,12
147,CUST163,Suburban Store,Frozen II,Family,2025-04-29,9.05,1.5,7.550000000000001,12
148,CUST078,Mall Store,Doctor Strange,Action,2024-02-07,3.26,2.0,1.2599999999999998,0
149,CUST226,Downtown Store,The Lion King,Family,2025-06-22,11.1,0.0,11.1,10
150,CUST080,Downtown Store,The Dark Knight,Action,2025-04-25,9.82,1.0,8.82,12
151,CUST204,Suburban Store,Moana,Family,2024-03-23,10.52,3.0,7.52,12
152,CUST250,Suburban Store,Zootopia,Animation,2024-02-06,8.17,0.5,7.67,9
153,CUST047,Mall Store,Aladdin,Family,2024-04-10,9.6,3.0,6.6,3
154,CUST086,Suburban Store,Finding Nemo,Family,2024-11-02,11.03,0.0,11.03,15
155,CUST151,Mall Store,Frozen II,Family,2025-01-18,6.31,0.5,5.81,8
156,CUST093,Downtown Store,Black Panther,Action,2024-06-28,2.79,1.5,1.29,0
157,CUST299,Downtown Store,Shrek,Animation,2024-08-25,6.61,1.0,5.61,8
158,CUST005,Mall Store,It Chapter Two,Horror,2024-10-21,8.78,0.5,8.28,4
159,CUST177,Suburban Store,Finding Nemo,Family,2024-11-02,8.39,1.5,6.890000000000001,9
160,CUST155,Downtown Store,Finding Nemo,Family,2025-01-28,10.53,0.0,10.53,10
161,CUST293,Mall Store,Titanic,Romance,2025-08-11,4.96,3.0,1.96,0
162,CUST203,Mall Store,Avengers: Endgame,Action,2024-01-09,7.66,3.0,4.66,2
163,CUST255,Mall Store,Moana,Family,2024-08-23,8.07,1.0,7.07,6
164,CUST098,Suburban Store,Coco,Animation,2024-09-13,8.78,3.0,5.779999999999999,4
165,CUST050,Suburban Store,Coco,Animation,2024-02-10,5.09,1.5,3.59,1
166,CUST187,Suburban Store,Black Panther,Action,2024-05-14,2.9,1.0,1.9,0
167,CUST213,Downtown Store,Guardians of the Galaxy,Action,2024-07-24,3.32,2.0,1.3199999999999998,0
168,CUST257,Mall Store,Minions,Animation,2024-06-17,4.57,1.5,3.0700000000000003,3
169,CUST174,Downtown Store,Guardians of the Galaxy,Action,2025-04-24,11.63,0.5,11.13,10
170,CUST204,Suburban Store,Doctor Strange,Action,2025-01-09,2.9,1.5,1.4,0
171,CUST275,Downtown Store,It Chapter Two,Horror,2025-04-10,5.69,3.0,2.6900000000000004,3
172,CUST196,Suburban Store,Black Panther,Action,2025-01-15,3.08,0.5,2.58,4
173,CUST288,Mall Store,Avengers: Endgame,Action,2024-08-14,8.48,3.0,5.48,8
174,CUST155,Suburban Store,Up,Family,2025-02-22,3.17,0.0,3.17,1
175,CUST253,Downtown Store,John Wick 3,Action,2024-04-09,4.35,2.0,2.3499999999999996,2
176,CUST233,Mall Store,Titanic,Romance,2025-07-07,6.19,3.0,3.1900000000000004,2
177,CUST051,Mall Store,The Dark Knight,Action,2025-02-21,11.39,1.0,10.39,5
178,CUST190,Downtown Store,Up,Family,2025-03-30,6.45,0.5,5.95,6
179,CUST189,Suburban Store,The Lion King,Family,2025-01-02,2.61,1.0,1.6099999999999999,0
180,CUST233,Downtown Store,The Lion King,Family,2024-08-05,8.42,2.0,6.42,3
181,CUST171,Downtown Store,Frozen II,Family,2024-05-08,9.87,0.5,9.37,4
182,CUST284,Downtown Store,Inside Out,Animation,2025-08-23,4.16,0.5,3.66,3
183,CUST076,Suburban Store,Inside Out,Animation,2024-01-03,4.77,0.5,4.27,4
184,CUST129,Downtown Store,The Matrix,Sci-Fi,2024-04-22,8.61,0.0,8.61,8
185,CUST184,Downtown Store,Avengers: Endgame,Action,2024-11-27,2.16,1.0,1.1600000000000001,0
186,CUST216,Suburban Store,Toy Story 4,Animation,2024-04-26,9.46,1.5,7.960000000000001,12
187,CUST186,Suburban Store,Inside Out,Animation,2024-04-21,6.52,0.5,6.02,3
188,CUST267,Mall Store,Guardians of the Galaxy,Action,2025-04-14,8.43,0.0,8.43,4
189,CUST206,Mall Store,Shrek,Animation,2024-04-20,6.9,1.5,5.4,2
190,CUST165,Suburban Store,Joker,Drama,2024-05-31,2.66,1.0,1.6600000000000001,0
191,CUST272,Mall Store,Titanic,Romance,2025-04-09,7.06,1.5,5.56,2
192,CUST059,Suburban Store,Up,Family,2025-07-18,9.21,0.5,8.71,16
193,CUST117,Mall Store,Finding Nemo,Family,2024-12-13,10.27,1.5,8.77,16
194,CUST049,Mall Store,Guardians of the Galaxy,Action,2025-03-13,5.13,1.0,4.13,6
195,CUST243,Downtown Store,Toy Story 4,Animation,2024-04-03,10.32,0.0,10.32,20
196,CUST191,Downtown Store,The Lion King,Family,2025-07-23,2.6,2.0,0.6000000000000001,0
197,CUST063,Mall Store,Doctor Strange,Action,2024-12-28,10.74,1.5,9.24,4
198,CUST160,Mall Store,John Wick 3,Action,2024-04-16,7.78,0.5,7.28,6
199,CUST247,Downtown Store,Doctor Strange,Action,2024-04-20,5.5,2.0,3.5,3
200,CUST143,Suburban Store,The Lion King,Family,2024-08-19,10.07,2.0,8.07,4
201,CUST137,Downtown Store,Moana,Family,2024-07-03,4.73,1.0,3.7300000000000004,3
202,CUST004,Downtown Store,Inception,Sci-Fi,2024-05-26,7.66,1.5,6.16,3
203,CUST016,Downtown Store,Toy Story 4,Animation,2025-06-27,4.15,1.5,2.6500000000000004,4
204,CUST081,Mall Store,Zootopia,Animation,2024-11-15,9.22,2.0,7.220000000000001,3
205,CUST080,Downtown Store,Frozen II,Family,2024-02-20,8.74,1.0,7.74,12
206,CUST218,Mall Store,Doctor Strange,Action,2025-03-28,6.14,0.5,5.64,2
207,CUST221,Downtown Store,Inception,Sci-Fi,2024-10-17,8.78,2.0,6.779999999999999,12
208,CUST158,Downtown Store,Minions,Animation,2024-08-13,5.95,2.0,3.95,1
209,CUST105,Mall Store,Avengers: Endgame,Action,2024-08-04,9.67,1.0,8.67,12
210,CUST062,Downtown Store,Zootopia,Animation,2025-05-24,9.47,0.5,8.97,8
211,CUST273,Suburban Store,Titanic,Romance,2024-08-23,7.0,3.0,4.0,6
212,CUST204,Suburban Store,Joker,Drama,2024-02-13,6.36,1.5,4.86,2
213,CUST295,Mall Store,Zootopia,Animation,2025-08-10,6.04,3.0,3.04,4
214,CUST059,Mall Store,John Wick 3,Action,2024-01-22,11.66,0.5,11.16,20
215,CUST186,Downtown Store,Up,Family,2025-03-23,10.44,0.5,9.94,16
216,CUST206,Suburban Store,Black Panther,Action,2024-03-21,5.96,1.0,4.96,6
217,CUST171,Downtown Store,Aladdin,Family,2024-03-19,7.1,0.0,7.1,6
218,CUST179,Mall Store,Inside Out,Animation,2024-05-31,4.36,0.5,3.8600000000000003,3
219,CUST089,Suburban Store,Captain Marvel,Action,2024-06-05,9.6,3.0,6.6,3
220,CUST253,Mall Store,Spider-Man: Far From Home,Action,2025-07-31,9.6,1.5,8.1,12
221,CUST162,Downtown Store,Coco,Animation,2025-03-26,2.68,1.5,1.1800000000000002,0
222,CUST029,Mall Store,It Chapter Two,Horror,2025-06-03,2.74,1.5,1.2400000000000002,0
223,CUST030,Mall Store,Frozen II,Family,2024-10-20,2.77,0.0,2.77,4
224,CUST298,Suburban Store,Finding Nemo,Family,2024-02-12,6.5,2.0,4.5,4
225,CUST244,Suburban Store,Zootopia,Animation,2024-06-03,11.58,1.5,10.08,5
226,CUST044,Suburban Store,Zootopia,Animation,2024-06-25,2.39,3.0,0.0,0
227,CUST269,Suburban Store,Finding Nemo,Family,2024-06-11,5.64,1.0,4.64,8
228,CUST174,Suburban Store,The Dark Knight,Action,2024-02-23,9.89,3.0,6.890000000000001,9
229,CUST169,Downtown Store,Joker,Drama,2025-07-25,8.78,1.0,7.779999999999999,9
230,CUST077,Mall Store,Guardians of the Galaxy,Action,2024-03-24,7.83,0.5,7.33,9
231,CUST201,Downtown Store,John Wick 3,Action,2024-03-27,5.1,1.5,3.5999999999999996,3
232,CUST270,Downtown Store,Toy Story 4,Animation,2025-03-09,7.08,0.0,7.08,9
233,CUST093,Downtown Store,John Wick 3,Action,2024-12-15,11.48,1.5,9.98,8
234,CUST071,Downtown Store,Aladdin,Family,2024-03-20,4.96,0.0,4.96,2
235,CUST173,Suburban Store,Doctor Strange,Action,2024-05-14,7.97,0.5,7.47,6
236,CUST085,Suburban Store,Spider-Man: Far From Home,Action,2025-03-24,2.44,1.0,1.44,0
237,CUST146,Suburban Store,Finding Nemo,Family,2025-04-04,4.34,0.5,3.84,3
238,CUST100,Mall Store,Shrek,Animation,2025-08-07,11.84,1.5,10.34,15
239,CUST196,Suburban Store,Inside Out,Animation,2025-06-24,6.19,0.5,5.69,4
240,CUST071,Mall Store,Moana,Family,2024-02-23,8.41,1.0,7.41,3
241,CUST265,Downtown Store,Up,Family,2024-10-18,2.84,0.5,2.34,3
242,CUST263,Downtown Store,Finding Nemo,Family,2025-03-23,2.92,0.5,2.42,4
243,CUST014,Mall Store,Inception,Sci-Fi,2024-02-24,5.96,1.0,4.96,4
244,CUST042,Mall Store,Titanic,Romance,2024-08-17,2.28,0.0,2.28,3
245,CUST071,Downtown Store,Toy Story 4,Animation,2024-10-20,11.17,1.5,9.67,8
246,CUST241,Mall Store,Inside Out,Animation,2024-01-06,11.06,0.0,11.06,15
247,CUST077,Suburban Store,Captain Marvel,Action,2025-06-24,6.23,1.0,5.23,4
248,CUST063,Downtown Store,John Wick 3,Action,2024-09-01,6.2,2.0,4.2,8
249,CUST057,Mall Store,Joker,Drama,2025-07-02,2.16,2.0,0.16000000000000014,0
250,CUST074,Mall Store,Up,Family,2025-03-15,2.02,1.0,1.02,0
251,CUST214,Downtown Store,Black Panther,Action,2024-03-28,7.23,1.0,6.23,3
252,CUST279,Suburban Store,Minions,Animation,2025-06-03,7.54,1.5,6.04,12
253,CUST199,Mall Store,Frozen II,Family,2024-09-16,9.47,1.0,8.47,4
254,CUST124,Suburban Store,Inception,Sci-Fi,2024-04-16,9.72,3.0,6.720000000000001,9
255,CUST023,Mall Store,Toy Story 4,Animation,2025-07-13,5.39,3.0,2.3899999999999997,2
256,CUST238,Suburban Store,Inside Out,Animation,2025-05-05,8.32,0.5,7.82,3
257,CUST235,Downtown Store,Up,Family,2024-10-27,4.02,0.5,3.5199999999999996,1
258,CUST159,Suburban Store,Zootopia,Animation,2025-02-11,11.89,2.0,9.89,16
259,CUST019,Suburban Store,It Chapter Two,Horror,2024-07-14,4.86,0.0,4.86,6
260,CUST064,Mall Store,It Chapter Two,Horror,2025-03-23,10.89,3.0,7.890000000000001,12
261,CUST174,Downtown Store,Titanic,Romance,2025-05-23,8.92,1.0,7.92,9
262,CUST218,Downtown Store,Joker,Drama,2025-03-16,8.02,0.5,7.52,9
263,CUST053,Downtown Store,Zootopia,Animation,2024-12-01,8.61,1.0,7.609999999999999,12
264,CUST219,Downtown Store,Moana,Family,2025-03-30,5.52,0.0,5.52,6
265,CUST223,Mall Store,Moana,Family,2024-02-28,2.75,3.0,0.0,0
266,CUST263,Suburban Store,Inception,Sci-Fi,2024-06-12,11.53,0.5,11.03,20
267,CUST065,Downtown Store,Frozen II,Family,2024-08-29,9.79,1.0,8.79,12
268,CUST291,Downtown Store,Titanic,Romance,2024-06-06,8.79,1.0,7.789999999999999,9
269,CUST040,Suburban Store,Finding Nemo,Family,2024-05-20,7.29,1.5,5.79,6
270,CUST143,Downtown Store,Coco,Animation,2024-04-26,2.26,0.5,1.7599999999999998,0
271,CUST199,Suburban Store,Minions,Animation,2024-04-30,4.62,1.0,3.62,4
272,CUST147,Suburban Store,Captain Marvel,Action,2025-05-17,4.0,0.5,3.5,1
273,CUST089,Suburban Store,Finding Nemo,Family,2025-03-31,11.97,3.0,8.97,12
274,CUST178,Suburban Store,Doctor Strange,Action,2024-03-07,7.5,1.0,6.5,9
275,CUST090,Mall Store,Spider-Man: Far From Home,Action,2025-06-04,4.24,0.5,3.74,2
276,CUST253,Downtown Store,Aladdin,Family,2025-01-04,7.54,1.0,6.54,12
277,CUST067,Suburban Store,The Matrix,Sci-Fi,2024-03-29,2.66,1.5,1.1600000000000001,0
278,CUST211,Mall Store,Minions,Animation,2025-08-11,2.74,1.0,1.7400000000000002,0
279,CUST239,Suburban Store,Finding Nemo,Family,2025-06-13,5.45,2.0,3.45,2
280,CUST067,Mall Store,Inside Out,Animation,2025-05-29,11.11,0.0,11.11,5
281,CUST079,Mall Store,Minions,Animation,2024-06-17,3.62,3.0,0.6200000000000001,0
282,CUST266,Mall Store,Inception,Sci-Fi,2024-03-21,4.51,3.0,1.5099999999999998,0
283,CUST156,Suburban Store,Toy Story 4,Animation,2025-06-30,2.93,3.0,0.0,0
284,CUST298,Downtown Store,Black Panther,Action,2024-06-24,8.59,3.0,5.59,6
285,CUST022,Downtown Store,Black Panther,Action,2024-03-24,2.45,3.0,0.0,0
286,CUST108,Suburban Store,Coco,Animation,2025-03-02,8.18,0.0,8.18,16
287,CUST280,Mall Store,Coco,Animation,2024-11-05,6.83,3.0,3.83,4
288,CUST233,Downtown Store,John Wick 3,Action,2024-03-02,3.58,1.5,2.08,4
289,CUST105,Mall Store,Finding Nemo,Family,2024-05-27,5.13,3.0,2.13,3
290,CUST177,Mall Store,Guardians of the Galaxy,Action,2024-05-13,9.61,2.0,7.609999999999999,3
291,CUST124,Mall Store,Zootopia,Animation,2024-05-05,4.67,0.5,4.17,4
292,CUST026,Mall Store,The Lion King,Family,2025-01-28,10.64,1.5,9.14,8
293,CUST168,Suburban Store,Spider-Man: Far From Home,Action,2024-11-16,3.9,0.5,3.4,4
294,CUST240,Mall Store,Minions,Animation,2024-11-11,6.97,0.0,6.97,12
295,CUST235,Downtown Store,Minions,Animation,2024-08-08,7.83,0.0,7.83,3
296,CUST254,Suburban Store,John Wick 3,Action,2025-04-26,4.86,0.0,4.86,2
297,CUST069,Mall Store,The Dark Knight,Action,2025-01-09,9.64,1.0,8.64,4
298,CUST027,Suburban Store,Titanic,Romance,2025-07-29,3.95,2.0,1.9500000000000002,0
299,CUST198,Suburban Store,Joker,Drama,2025-04-06,9.64,1.0,8.64,4
300,CUST050,Mall Store,Toy Story 4,Animation,2025-01-17,9.95,1.0,8.95,12
301,CUST074,Downtown Store,Inside Out,Animation,2025-06-05,6.01,0.0,6.01,3
302,CUST071,Suburban Store,Frozen II,Family,2024-12-07,10.04,2.0,8.04,16
303,CUST264,Downtown Store,Toy Story 4,Animation,2024-12-01,11.31,1.0,10.31,10
304,CUST154,Suburban Store,Titanic,Romance,2024-12-10,7.07,2.0,5.07,8
